iter	Accuracy	Logloss
1868	0.8536094334	0.3123285792
1869	0.8536094334	0.3122767317
1870	0.8536094334	0.3122470998
1871	0.8536094334	0.3122093703
1872	0.8536094334	0.3121976131
1873	0.8537532355	0.31216052
1874	0.8537532355	0.3121266771
1875	0.8537532355	0.312067495
1876	0.8536094334	0.3120228436
1877	0.8536094334	0.3119808444
1878	0.8537532355	0.3119562087
1879	0.8540408398	0.3119117927
1880	0.8540408398	0.3118977998
1881	0.8541846419	0.3118517852
1882	0.8541846419	0.311822051
1883	0.8541846419	0.3117615974
1884	0.8541846419	0.3117303241
1885	0.8543284441	0.3117071254
1886	0.8543284441	0.3116824563
1887	0.8543284441	0.3116543806
1888	0.8543284441	0.3116188726
1889	0.8543284441	0.3115807257
1890	0.8543284441	0.3115257003
1891	0.8543284441	0.3114810081
1892	0.8544722462	0.3114371803
1893	0.8544722462	0.3113956421
1894	0.8544722462	0.311350677
1895	0.8546160483	0.3113019154
1896	0.8546160483	0.3112776546
1897	0.8544722462	0.3112253276
1898	0.8544722462	0.3111936912
1899	0.8546160483	0.3111526155
1900	0.8547598504	0.3111208108
1901	0.8547598504	0.3110780507
1902	0.8547598504	0.3110528278
1903	0.8547598504	0.3110098564
1904	0.8547598504	0.3109603087
1905	0.8547598504	0.3109089945
1906	0.8547598504	0.3108680057
1907	0.8549036526	0.3108309068
1908	0.8549036526	0.3107976579
1909	0.8549036526	0.3107628119
1910	0.8549036526	0.3107167695
1911	0.8549036526	0.3106745398
1912	0.8549036526	0.310612035
1913	0.8549036526	0.3105846329
1914	0.8549036526	0.3105418615
1915	0.8549036526	0.3105168717
1916	0.8549036526	0.3104911737
1917	0.8549036526	0.310464316
1918	0.8554788611	0.3104190647
1919	0.8554788611	0.3103733568
1920	0.8556226632	0.3103265832
1921	0.8554788611	0.3102819366
1922	0.8554788611	0.3102417765
1923	0.8556226632	0.3101884431
1924	0.8556226632	0.3101484663
1925	0.8556226632	0.3101340834
1926	0.8557664653	0.3101026504
1927	0.8557664653	0.3100783922
1928	0.8557664653	0.3100397309
1929	0.8557664653	0.30999646
1930	0.8559102675	0.3099656182
1931	0.8559102675	0.3099137244
1932	0.8560540696	0.3098466689
1933	0.8560540696	0.3098044301
1934	0.8557664653	0.3097845944
1935	0.8561978717	0.3097171064
1936	0.8557664653	0.3096838892
1937	0.8557664653	0.3096555592
1938	0.8557664653	0.3096040818
1939	0.8557664653	0.3095745037
1940	0.8559102675	0.3095416032
1941	0.8557664653	0.309512734
1942	0.8557664653	0.3094939809
1943	0.8557664653	0.3094570578
1944	0.8557664653	0.3094145138
1945	0.8563416739	0.3093724665
1946	0.8563416739	0.3093380893
1947	0.8561978717	0.3092912355
1948	0.856485476	0.3092478723
1949	0.8563416739	0.3092297854
1950	0.8563416739	0.3092020046
1951	0.8563416739	0.3091632971
1952	0.8563416739	0.3091238756
1953	0.856485476	0.3091060471
1954	0.856485476	0.3090401867
1955	0.856485476	0.3089870413
1956	0.856485476	0.3089624982
1957	0.856485476	0.30891188
1958	0.8566292781	0.3088643683
1959	0.8566292781	0.3088436366
1960	0.8566292781	0.3088192465
1961	0.8566292781	0.3087914342
1962	0.8566292781	0.3087490943
1963	0.8566292781	0.308741877
1964	0.8566292781	0.308713304
1965	0.8569168824	0.3086630146
1966	0.8569168824	0.3086107938
1967	0.8570606845	0.3085869664
1968	0.8570606845	0.3085453356
1969	0.8573482888	0.3084921428
1970	0.8573482888	0.3084663707
1971	0.8574920909	0.3084330807
1972	0.8574920909	0.3083927721
1973	0.8574920909	0.3083627971
1974	0.8573482888	0.308331937
1975	0.8570606845	0.308291023
1976	0.8573482888	0.3082605226
1977	0.8570606845	0.3082314397
1978	0.8573482888	0.3081985818
1979	0.8574920909	0.308164046
1980	0.8574920909	0.3081238118
1981	0.857635893	0.3080849217
1982	0.857635893	0.3080526848
1983	0.8577796951	0.3080279356
1984	0.8577796951	0.3080015345
1985	0.857635893	0.3079627027
1986	0.857635893	0.3079108063
1987	0.857635893	0.3078730109
1988	0.857635893	0.307825741
1989	0.857635893	0.307794644
1990	0.857635893	0.3077542163
1991	0.857635893	0.3077217213
1992	0.8577796951	0.3076877521
1993	0.8577796951	0.3076721861
1994	0.8577796951	0.3076511891
1995	0.8577796951	0.3076258171
1996	0.8579234973	0.307569056
1997	0.8580672994	0.3075308899
1998	0.8580672994	0.3074833383
1999	0.8584987058	0.3074204075
2000	0.8584987058	0.3073698219
2001	0.8584987058	0.3073306396
2002	0.8586425079	0.307289681
2003	0.8586425079	0.3072501574
2004	0.8586425079	0.3072198259
2005	0.8584987058	0.3071662711
2006	0.8584987058	0.3071447699
2007	0.8584987058	0.3071177951
2008	0.8584987058	0.3070937926
2009	0.8584987058	0.3070334788
2010	0.8584987058	0.3069966939
2011	0.8584987058	0.3069692849
2012	0.8586425079	0.3069339531
2013	0.8586425079	0.3068701876
2014	0.85878631	0.3068303049
2015	0.8586425079	0.306801887
2016	0.8589301122	0.3067630301
2017	0.8589301122	0.3067168455
2018	0.8589301122	0.3066780083
2019	0.8589301122	0.3066205243
2020	0.8589301122	0.3065813755
2021	0.8589301122	0.3065428553
2022	0.8590739143	0.3064996673
2023	0.8590739143	0.3064618093
2024	0.8592177164	0.3064319579
2025	0.8592177164	0.306406225
2026	0.8592177164	0.3063828498
2027	0.8593615186	0.3063489203
2028	0.8593615186	0.3063199432
2029	0.8590739143	0.3062744135
2030	0.8589301122	0.306247913
2031	0.8590739143	0.3062113193
2032	0.8592177164	0.3061743041
2033	0.8592177164	0.3061391001
2034	0.8592177164	0.3061024785
2035	0.8596491228	0.3060445833
2036	0.8596491228	0.3060142623
2037	0.8596491228	0.30596408
2038	0.8596491228	0.3059118203
2039	0.8596491228	0.3058700689
2040	0.8597929249	0.3058408153
2041	0.8596491228	0.3058181639
2042	0.8596491228	0.3058002676
2043	0.8596491228	0.3057774172
2044	0.8596491228	0.3057498987
2045	0.8596491228	0.3057080594
2046	0.8597929249	0.3056889728
2047	0.8597929249	0.3056504254
2048	0.8596491228	0.3056053094
2049	0.8596491228	0.3055786475
2050	0.8597929249	0.3055506424
2051	0.8597929249	0.3055244527
2052	0.8597929249	0.3055060681
